"Step","SHF-Accum-v2-128 - score_train_avg","SHF-Accum-v2-128 - score_train_avg__MIN","SHF-Accum-v2-128 - score_train_avg__MAX","SHF-Accum-v2-64 - score_train_avg","SHF-Accum-v2-64 - score_train_avg__MIN","SHF-Accum-v2-64 - score_train_avg__MAX","SHF-Accum-v2-32 - score_train_avg","SHF-Accum-v2-32 - score_train_avg__MIN","SHF-Accum-v2-32 - score_train_avg__MAX","SHF-Accum-v2-16 - score_train_avg","SHF-Accum-v2-16 - score_train_avg__MIN","SHF-Accum-v2-16 - score_train_avg__MAX","SHF-Accum-v2-8 - score_train_avg","SHF-Accum-v2-8 - score_train_avg__MIN","SHF-Accum-v2-8 - score_train_avg__MAX","SHF-Accum-v2-4 - score_train_avg","SHF-Accum-v2-4 - score_train_avg__MIN","SHF-Accum-v2-4 - score_train_avg__MAX","SHF-Accum-v2-3 - score_train_avg","SHF-Accum-v2-3 - score_train_avg__MIN","SHF-Accum-v2-3 - score_train_avg__MAX","SHF-Accum-v2-2 - score_train_avg","SHF-Accum-v2-2 - score_train_avg__MIN","SHF-Accum-v2-2 - score_train_avg__MAX","SHF-Accum-v2-1 - score_train_avg","SHF-Accum-v2-1 - score_train_avg__MIN","SHF-Accum-v2-1 - score_train_avg__MAX","SHF-Accum-v2-0 - score_train_avg","SHF-Accum-v2-0 - score_train_avg__MIN","SHF-Accum-v2-0 - score_train_avg__MAX"
"50","","","","","","","","","","","","","","","","","","","","","","-2.5771484375","-2.5771484375","-2.5771484375","-3.61669921875","-3.61669921875","-3.61669921875","","",""
"51","","","","","","","","","","","","","","","","","","","-1.9488728841145833","-1.9488728841145833","-1.9488728841145833","","","","-1.23541259765625","-1.23541259765625","-1.23541259765625","","",""
"52","","","","","","","","","","","","","","","","-1.6065855026245117","-1.6065855026245117","-1.6065855026245117","","","","-0.7399682998657227","-0.7399682998657227","-0.7399682998657227","-0.2342052459716797","-0.2342052459716797","-0.2342052459716797","","",""
"53","","","","","","","","","","","","","","","","","","","","","","","","","-2.189697265625","-2.189697265625","-2.189697265625","","",""
"54","","","","","","","","","","","","","","","","","","","-2.1385285059611","-2.1385285059611","-2.1385285059611","-2.9940185546875","-2.9940185546875","-2.9940185546875","-3.66796875","-3.66796875","-3.66796875","","",""
"55","","","","","","","","","","","","","","","","","","","","","","","","","-3.98095703125","-3.98095703125","-3.98095703125","","",""
"56","","","","","","","","","","","","","-2.5655570030212402","-2.5655570030212402","-2.5655570030212402","-3.5343017578125","-3.5343017578125","-3.5343017578125","","","","-3.9088134765625","-3.9088134765625","-3.9088134765625","-1.9599609375","-1.9599609375","-1.9599609375","","",""
"57","","","","","","","","","","","","","","","","","","","-3.1813557942708335","-3.1813557942708335","-3.1813557942708335","","","","-1.982177734375","-1.982177734375","-1.982177734375","","",""
"58","","","","","","","","","","","","","","","","","","","","","","-2.550048828125","-2.550048828125","-2.550048828125","-2.998046875","-2.998046875","-2.998046875","","",""
"59","","","","","","","","","","","","","","","","","","","","","","","","","1.135009765625","1.135009765625","1.135009765625","","",""
